End_Time,Artist,Track,Playlist,Miliseconds_Played,
4/4/22 18:11,LEES2UN,CAKE,#N/A,34240,
4/4/22 18:11,Nan Quan Mama,下雨天,#N/A,66730,
4/4/22 18:12,J_ust,Soft,#N/A,52245,
4/4/22 18:16,J_ust,Way Back Home,#N/A,210613,
4/4/22 18:19,ACOURVE,The night we parted,#N/A,220310,
4/4/22 18:28,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),#N/A,167232,
4/4/22 19:56,Hello Ga-Young,솜과 사탕,#N/A,214804,
4/4/22 20:00,Hello Ga-Young,In a dream,#N/A,233024,
4/4/22 20:02,Hello Ga-Young,네가 좋아,#N/A,119060,
4/4/22 20:06,Hello Ga-Young,솜과 사탕,#N/A,214804,
4/4/22 20:06,Hello Ga-Young,In a dream,#N/A,14804,
4/4/22 20:09,Tiësto,Secrets,mm3,152160,
4/4/22 20:11,Kura,Beast Mode,mm3,6106,
4/4/22 20:11,Tiësto,The Business,mm2,144149,
4/4/22 20:16,Steve Aoki,Turbulence - Radio Edit,mm3,297726,
4/4/22 20:19,CID,Werk,mm3,172800,
4/4/22 20:20,WONHO,WHITE MIRACLE,mm3,57088,
4/4/22 20:21,salem ilese,Mad at Disney,mm3,52360,
4/4/22 20:24,WONWOO,Bittersweet (feat. LeeHi),mm3,174773,
4/4/22 20:25,Troye Sivan,Strawberries & Cigarettes,mm3,14,
4/4/22 21:30,Hello Ga-Young,솜과 사탕,#N/A,214804,
4/4/22 21:30,Hello Ga-Young,In a dream,#N/A,6284,
4/4/22 23:07,Hello Ga-Young,솜과 사탕,#N/A,131102,
